beat,vocal,ok,secs,error
Innerbloom (RÜFÜS DU SOL),Woh Lamhe Woh Baatein,True,84.6,
Innerbloom (RÜFÜS DU SOL),Hum Pyaar Karne Wale,False,34.1,"This pair didn't come out clean, so it wasn't shipped."
Rapture (Black Coffee),Don't Start Now (Dua Lipa),True,80.5,
Rapture (Black Coffee),Der Lagi Lekin (ZNMD),True,154.7,
Rapture (Black Coffee),Tujhe Bhula Diya (Anjaana Anjaani),True,116.8,
Rapture (Black Coffee),With You (AP Dhillon),True,92.2,
Rapture (Black Coffee),Tere Bina,True,115.3,
Rapture (Black Coffee),Jugni Ji,True,99.5,
Rapture (Black Coffee),Wari Jawa,True,72.4,
Rapture (Black Coffee),Tere Bin,True,98.5,
Rapture (Black Coffee),Mera Yaar,True,66.3,
Rapture (Black Coffee),Khuda Jaane,False,32.0,"This pair didn't come out clean, so it wasn't shipped."
Rapture (Black Coffee),Nadan Parinde,True,87.3,
Rapture (Black Coffee),Uff Teri Ada,True,77.6,
Rapture (Black Coffee),Dooriyan,True,91.9,
Rapture (Black Coffee),How Deep Is Your Love,True,99.5,
Rapture (Black Coffee),Bad Guy,True,73.3,
Rapture (Black Coffee),Panda,True,104.4,
Rapture (Black Coffee),Woh Lamhe Woh Baatein,True,78.3,
Rapture (Black Coffee),Hum Pyaar Karne Wale,True,69.3,
Anchor Point (Ahmed Spins),Don't Start Now (Dua Lipa),True,71.8,
Anchor Point (Ahmed Spins),Der Lagi Lekin (ZNMD),True,89.0,
Anchor Point (Ahmed Spins),Tujhe Bhula Diya (Anjaana Anjaani),True,76.3,
Anchor Point (Ahmed Spins),With You (AP Dhillon),True,89.4,
Anchor Point (Ahmed Spins),Tere Bina,True,78.0,
Anchor Point (Ahmed Spins),Jugni Ji,True,59.9,
Anchor Point (Ahmed Spins),Wari Jawa,True,104.6,
Anchor Point (Ahmed Spins),Tere Bin,True,116.3,
Anchor Point (Ahmed Spins),Mera Yaar,True,61.2,
Anchor Point (Ahmed Spins),Khuda Jaane,False,88.2,"This pair didn't come out clean, so it wasn't shipped."
Anchor Point (Ahmed Spins),Nadan Parinde,True,82.2,
Anchor Point (Ahmed Spins),Uff Teri Ada,True,80.1,
Anchor Point (Ahmed Spins),Dooriyan,True,82.7,
Anchor Point (Ahmed Spins),How Deep Is Your Love,True,80.1,
Anchor Point (Ahmed Spins),Bad Guy,True,73.5,
Anchor Point (Ahmed Spins),Panda,True,68.7,
Anchor Point (Ahmed Spins),Woh Lamhe Woh Baatein,True,74.0,
Anchor Point (Ahmed Spins),Hum Pyaar Karne Wale,True,99.3,
Merrygo beat,Don't Start Now (Dua Lipa),True,11.4,
Merrygo beat,Der Lagi Lekin (ZNMD),True,30.1,
Merrygo beat,Tujhe Bhula Diya (Anjaana Anjaani),True,10.9,
Merrygo beat,With You (AP Dhillon),True,30.1,
Merrygo beat,Tere Bina,True,16.2,
Merrygo beat,Jugni Ji,True,30.7,
Merrygo beat,Wari Jawa,True,19.5,
Merrygo beat,Tere Bin,True,29.1,
Merrygo beat,Mera Yaar,True,33.6,
Merrygo beat,Khuda Jaane,True,24.6,
Merrygo beat,Nadan Parinde,True,46.9,
Merrygo beat,Uff Teri Ada,True,25.6,
Merrygo beat,Dooriyan,True,36.7,
Merrygo beat,How Deep Is Your Love,True,36.6,
Merrygo beat,Bad Guy,True,24.1,
Merrygo beat,Panda,True,32.0,
Merrygo beat,Woh Lamhe Woh Baatein,True,36.0,
Merrygo beat,Hum Pyaar Karne Wale,True,84.3,
Wake Me Up,Don't Start Now (Dua Lipa),True,57.9,
Wake Me Up,Der Lagi Lekin (ZNMD),True,68.3,
Wake Me Up,Tujhe Bhula Diya (Anjaana Anjaani),True,45.2,
Wake Me Up,With You (AP Dhillon),True,44.9,
Wake Me Up,Tere Bina,True,45.2,
Wake Me Up,Jugni Ji,True,35.6,
Wake Me Up,Wari Jawa,True,44.8,
Wake Me Up,Tere Bin,True,39.4,
Wake Me Up,Mera Yaar,True,39.6,
Wake Me Up,Khuda Jaane,True,38.5,
Wake Me Up,Nadan Parinde,True,64.9,
Wake Me Up,Uff Teri Ada,True,65.8,
Wake Me Up,Dooriyan,True,129.0,
Wake Me Up,How Deep Is Your Love,True,69.1,
Wake Me Up,Bad Guy,True,169.5,
Wake Me Up,Panda,True,143.2,
Wake Me Up,Woh Lamhe Woh Baatein,True,72.7,
Wake Me Up,Hum Pyaar Karne Wale,True,114.6,
Faded,Don't Start Now (Dua Lipa),True,182.7,
Faded,Der Lagi Lekin (ZNMD),True,172.3,
Faded,Tujhe Bhula Diya (Anjaana Anjaani),True,219.1,
Faded,With You (AP Dhillon),True,209.4,
Faded,Tere Bina,True,279.2,
Faded,Jugni Ji,True,255.9,
Faded,Wari Jawa,True,263.6,
Faded,Tere Bin,True,294.4,
Faded,Mera Yaar,True,293.8,
Faded,Khuda Jaane,False,270.4,"This pair didn't come out clean, so it wasn't shipped."
Faded,Nadan Parinde,True,303.9,
Faded,Uff Teri Ada,True,287.7,
Faded,Dooriyan,True,98.5,
Faded,How Deep Is Your Love,True,352.4,
Faded,Bad Guy,True,231.0,
Faded,Panda,True,274.3,
Faded,Woh Lamhe Woh Baatein,True,56.3,
Faded,Hum Pyaar Karne Wale,True,277.6,
Lean On,Don't Start Now (Dua Lipa),True,256.9,
Lean On,Der Lagi Lekin (ZNMD),True,279.8,
Lean On,Tujhe Bhula Diya (Anjaana Anjaani),True,231.0,
Lean On,With You (AP Dhillon),True,169.0,
Lean On,Tere Bina,True,260.3,
Lean On,Jugni Ji,True,300.1,
Lean On,Wari Jawa,True,173.9,
Lean On,Tere Bin,True,51.6,
Lean On,Mera Yaar,False,0,?
Lean On,Khuda Jaane,True,50.7,
Lean On,Nadan Parinde,False,0,?
Lean On,Uff Teri Ada,True,191.1,
Lean On,Dooriyan,True,83.0,
Lean On,How Deep Is Your Love,True,169.7,
Lean On,Bad Guy,True,106.8,
Lean On,Panda,True,101.4,
Lean On,Woh Lamhe Woh Baatein,False,0,?
Lean On,Hum Pyaar Karne Wale,False,0,?
Closer,Don't Start Now (Dua Lipa),False,0,?
Closer,Der Lagi Lekin (ZNMD),False,0,?
Closer,Tujhe Bhula Diya (Anjaana Anjaani),False,0,?
Closer,With You (AP Dhillon),False,0,?
Closer,Tere Bina,False,0,?
Closer,Jugni Ji,False,0,?
Closer,Wari Jawa,False,0,?
Closer,Tere Bin,False,0,?
Closer,Mera Yaar,False,0,?
Closer,Khuda Jaane,False,0,?
Closer,Nadan Parinde,False,0,?
Closer,Uff Teri Ada,False,0,?
Closer,Dooriyan,False,0,?
Closer,How Deep Is Your Love,False,0,?
Closer,Bad Guy,False,0,?
Closer,Panda,False,0,?
Closer,Woh Lamhe Woh Baatein,False,0,?
Closer,Hum Pyaar Karne Wale,False,0,?
Hey Brother,Don't Start Now (Dua Lipa),False,0,?
Hey Brother,Der Lagi Lekin (ZNMD),False,0,?
Hey Brother,Tujhe Bhula Diya (Anjaana Anjaani),False,0,?
Hey Brother,With You (AP Dhillon),False,0,?
Hey Brother,Tere Bina,False,0,?
Hey Brother,Jugni Ji,False,0,?
Hey Brother,Wari Jawa,False,0,?
Hey Brother,Tere Bin,False,0,?
Hey Brother,Mera Yaar,False,0,?
Hey Brother,Khuda Jaane,False,0,?
Hey Brother,Nadan Parinde,False,0,?
Hey Brother,Uff Teri Ada,False,0,?
Hey Brother,Dooriyan,False,0,?
Hey Brother,How Deep Is Your Love,False,0,?
Hey Brother,Bad Guy,False,0,?
Hey Brother,Panda,False,0,?
Hey Brother,Woh Lamhe Woh Baatein,False,0,?
Hey Brother,Hum Pyaar Karne Wale,False,0,?
Silence,Don't Start Now (Dua Lipa),False,0,?
Silence,Der Lagi Lekin (ZNMD),False,0,?
Silence,Tujhe Bhula Diya (Anjaana Anjaani),False,0,?
Silence,With You (AP Dhillon),False,0,?
Silence,Tere Bina,False,0,?
Silence,Jugni Ji,False,0,?
Silence,Wari Jawa,False,0,?
Silence,Tere Bin,False,0,?
Silence,Mera Yaar,False,0,?
Silence,Khuda Jaane,False,0,?
Silence,Nadan Parinde,False,0,?
Silence,Uff Teri Ada,False,0,?
Silence,Dooriyan,False,0,?
Silence,How Deep Is Your Love,False,0,?
Silence,Bad Guy,False,0,?
Silence,Panda,False,0,?
Silence,Woh Lamhe Woh Baatein,False,0,?
Silence,Hum Pyaar Karne Wale,False,0,?
